words,sentiment_coeff
coronavirus,0.7871788615555753
vaccine,-0.4998053909191417
pandemic,0.7936889743394815
new,-0.48454216563124025
not,-0.5085905591683723
first,-0.49499291737902984
cases,0.7880127198910436
us,-0.8245286561493785
health,-0.5046415538142636
year,-0.5119788181842319
people,0.8045100344965134
country,0.8030349297884071
said,-0.5118359035549926
india,0.5072499109295746
government,-0.48258269451401625
world,0.7857495820000849
one,-0.4904879715981118
amp,0.7860266780487235
vaccines,-0.491084692831705
china,0.5051679369352199
uk,-0.48422589465998295
virus,0.7931796171836638
deaths,0.7897493544108639
since,0.8046888371936327
covid,0.7781535146749223
state,-0.5051396418944949
vaccination,-0.515229480712291
variant,-0.485738060353575
spread,0.7956578643428753
news,0.489432832199246
last,-0.49345212536369776
million,0.8172895787238486
time,-0.49959682215412354
day,0.503021971926254
due,-0.49318357223892223
get,0.518813382490125
says,-0.49441586663104903
lockdown,-0.5094853861416293
reported,-0.484765288760683
infections,0.4986684109066686
also,-0.5122338284935223
doses,-0.4924330236529227
johnson,-0.4917902328222211
would,0.49653986890259977
could,0.49356375434513583
crisis,0.5202345302986894
help,-0.4984917258643999
via,0.79259155658569
death,0.7975698102569401
case,0.7804509087680516
week,0.5057388502513798
variants,0.7834787765301143
number,0.791492688078777
like,-0.49805343628682686
disease,-0.49640372551218775
latest,0.5130238809339391
daily,0.7962723586538255
two,-0.4870039346510906
astrazeneca,-0.4963695042585181
may,-0.5089763898486414
south,-0.4825724968612766
outbreak,0.7969530164650511
months,-0.5009002011319111
end,-0.521441150517358
read,0.5143783453482244
population,0.8109320572865978
face,-0.5025141932107057
announced,-0.5084700631194596
public,0.4924026668112058
today,-0.5147556043471991
way,0.783918929340049
second,0.4918547503379457
pfizer,-0.48600296404888305
states,-0.4959745430827527
wave,-0.5005246794362862
even,-0.5078876322826713
monday,-0.7894978500989932
countries,-0.4965229522358923
restrictions,0.5057760825251366
amid,0.4934326890487329
economy,-0.5082746183661704
city,0.799714092620071
novel,0.4935399874932789
report,0.8043532028115572
company,0.7854126489478496
biden,0.7958719928256252
highest,0.7922155574961227
still,-0.4955011501553783
many,-0.5015181612867257
united,0.7828771068412297
response,0.4944816998767188
global,-0.48779058660989744
surge,-0.5004981927659669
vaccinated,-0.49368980280133695
eu,-0.5003046292785368
use,-0.4997594988247597
tuesday,-0.7916370320027302
travel,0.492348322236051
march,-0.5346040722053006
back,0.8021781260825336
data,0.8219180525352505
president,0.8074680235359383
rollout,-0.8237913098503475
next,-0.7872761137956745
friday,0.778489459098389
across,-0.4899597908713788
days,0.4989798811013105
caused,-0.5026437559626512
national,0.4941244190144476
recorded,-0.4877656314106255
thursday,-0.7877755566861273
trump,0.8261426816071933
nt,-0.4994835848591365
take,-0.4974246135945204
control,0.48978725439714826
israel,0.7815377278990203
despite,0.49088744127552836
weeks,-0.4928870307529872
wednesday,-0.48696899282921535
fight,0.48774401691357777
part,-0.519951838298257
european,-0.5029294523654908
record,0.7956309036994681
say,-0.5012910440004301
system,0.8125178685079538
efforts,0.7822627362388463
toll,-0.48958646465211797
start,0.49664971765472216
administration,0.8111600005596534
officials,0.7822457224099566
made,-0.49075272780476725
nation,0.7990167498313866
minister,-0.487694264771357
confirmed,0.7777238756607948
third,0.48640862685035363
emergency,-0.5152881355949157
positive,0.8223178542745236
around,-0.48261968906158886
effective,-0.477589841157405
see,0.5004294604018034
workers,0.804705665455486
africa,0.49925823523557566
according,0.7943446229972858
plans,-0.5022434327294876
chinese,0.509665386675558
economic,0.5107393781276939
another,-0.49164594736867195
rate,0.7960997237934411
plan,-0.8017905660598811
total,0.8052136106321822
years,-0.4963006266120936
reports,-0.4831506951828017
campaign,-0.5012867050928619
business,0.7901815393724123
wuhan,0.5222762432628564
impact,0.5075389048164085
test,0.7795809189430222
home,0.8021287266785389
every,0.4907685604941328
found,0.5050164347011008
work,-0.4985751469388853
medical,0.5029391633499445
britain,-0.49277601868072207
infection,-0.48625335953395593
moderna,0.7837305753787907
nearly,0.7868308831135828
testing,0.7976329365967116
program,-0.7997871555672322
much,-0.4867904134199687
yet,-0.512201701661812
know,-0.5009305806415661
month,-0.5048299802513121
need,-0.5100333831671158
county,0.7899619807471824
worst,0.7767696024525623
make,-0.49984969260337414
human,0.49885024771723446
far,0.7769970381220105
support,0.489859921437853
least,0.4929634974864971
well,0.49556949742916795
citizens,0.7908612806736903
sunday,0.7958646967929699
including,-0.49168294635437854
set,-0.5135277351311128
began,-0.4918616202651627
going,-0.5044007799925351
ministry,0.8111608980425551
stop,-0.4940325326984593
situation,-0.49612208723797807
early,0.7919652116876017
tests,0.7983100766622476
hit,0.4876272679437695
shot,0.49879638478447386
failure,0.8073800322825342
april,-0.5237451806105384
residents,0.81188511195076
billion,-0.49298307790331364
scientists,0.5220825819477599
america,0.8149655928329665
high,-0.4931170025821049
care,-0.5141210423772166
measures,-0.500967809512387
top,-0.495913982951327
saturday,0.7829970805186567
strain,-0.488753139228177
yemen,-0.4973583625019267
three,0.7807604015182809
europe,-0.4883041501504381
lab,0.5352008692115633
relief,-0.5027897744057019
continues,-0.4922427047648062
services,-0.4908218332527284
tested,0.7921591758749035
coronavirusnews,-0.8062028346113392
california,-0.492507562989161
good,-0.5085432264269176
supply,-0.4894369420057597
germany,-0.4958619559937239
per,0.7835384020062761
past,0.7715796509920866
continued,-0.49815461926817406
house,0.8261633758935556
without,0.4986792667618165
ussaudi,-0.4934936811175729
mortgage,-0.5097393732536218
usadetainsoilships,0.48186282578327944
getting,0.5101880975897505
go,0.49743042652824915
already,0.49055779944058453
hours,0.7942500136997984
japan,-0.8147091783390416
increase,-0.5040263423966383
facing,0.4964969326287641
borders,-0.4973486840713109
protect,-0.5046829387580105
left,-0.5071261237533483
mask,-0.4990139001428994
making,-0.5055857028099932
life,0.7971786060775892
must,-0.49407679940367716
experts,-0.4937333416501625
rise,-0.4841661842072701
following,0.49326721302368226
level,0.7812062092472053
cdc,0.8057460180802372
biggest,-0.48601708663297916
open,-0.49685473823753684
times,-0.4985402506669987
union,-0.5021004616906811
lowest,0.790587849731812
entire,0.7821375741741259
indian,0.50762518282554
brazil,-0.4868435912957437
international,-0.7767859331275222
keep,0.5132306378482747
federal,-0.7868594539934489
called,0.4895837322428532
major,-0.5016578644106061
lives,0.7976081445094134
department,0.7959382353614775
ago,-0.4885310152563036
within,-0.4925514333344757
patients,-0.4925960549399086
team,0.7964508183340393
australia,-0.7851358024749143
think,-0.5000757128801927
among,-0.5017223728842635
largest,-0.48765381484136694
research,0.5182815016692276
flu,-0.4885067092521829
ap,-0.7921755946354039
york,0.8195122904547504
whole,0.5049539399274817
vaccinations,-0.5010116186719542
update,0.5056856124976129
drive,-0.4996446631724568
closed,-0.5052590035193669
recovery,-0.8074741239418955
received,-0.4981795482342723
dose,0.5010121572600972
sector,-0.49793056311814876
staff,0.8247596418556317
local,-0.4922825852786863
hospital,-0.4945297183671391
full,0.5135913220057852
july,-0.5183518969588747
known,0.5050116309425812
trial,-0.507099985767737
study,-0.4892113503310326
prevent,-0.502349618816279
growing,-0.495696433280218
quarantine,-0.4973676704063298
working,-0.5077274347357515
children,0.5032521762696861
continue,-0.5061245361512126
phase,0.5097113924259373
helping,-0.5127142819841397
safety,-0.49116358129844656
drug,-0.48421504157186607
best,0.5177027302267442
almost,-0.5143184251534384
season,0.5118145361051322
origins,0.5118946581732104
close,-0.49346430470078306
russia,-0.7773137020121383
taking,0.8012397345554858
put,-0.4908647058569299
spike,0.7767794868375666
deadly,0.5024538079753598
community,0.4988923901291852
live,-0.509757244308442
january,-0.5148732763694696
media,0.5003718816930277
stay,0.49247540769216935
hospitals,-0.49195554976132666
spreading,0.5080058941610454
become,0.5045048329671062
fully,0.5035967326872663
expect,0.5276606936502835
order,0.8044939238598406
less,-0.48698362007715
launched,-0.494064955816592
used,-0.4981939869856776
risk,0.49782686951530425
started,-0.5085314596172873
effects,-0.5047844443785412
never,0.49945352424891487
safe,-0.5125569451185499
numbers,0.776679703971008
behind,-0.4888155148783246
right,-0.5077865466601379
look,0.8080424413854935
corona,0.49936339602034674
whether,-0.5099505818124748
concerns,-0.48008829345208476
govt,-0.4891411261115529
long,0.5024476864919063
decision,0.49608442067124336
pakistan,-0.4831133130134565
masks,-0.4994604531502947
act,0.49246416843811713
students,0.8167628733761876
university,-0.5085221332341598
current,0.49219814275236473
demand,-0.49094243105338325
contain,-0.4901658292391873
americans,0.8142417001102814
operations,0.49162557334331913
american,0.4902235274762714
breaking,-0.4930618351877496
updated,0.7922416038579506
saying,-0.49929585077181554
shots,-0.4960908789151638
schools,0.49223119628655704
gov,0.781023062674398
show,0.8163720514599655
let,-0.5023233369317085
come,-0.4920744618668071
handling,-0.490850453846063
organization,0.7818019735020869
big,-0.504400566827818
half,-0.5097488268765255
official,0.8114249319519946
enough,-0.5085163636941077
production,-0.7731907263401082
ever,0.7915556282769575
free,0.4966085475476907
activities,0.4985173934253707
thousands,0.8023968061386697
social,0.5080696180231549
took,0.7922914424121673
four,0.8242866329740214
money,0.4916355448531879
alone,0.498631975607139
story,0.5023611677305071
employees,0.8035290196809775
possible,-0.4891822690253178
got,0.5039044911009171
programme,-0.7989112875843004
washington,0.4975613873218894
office,0.7928959794171446
likely,-0.4950326441657139
philippines,-0.8008220731317895
vaccinate,-0.4968447026049489
guaranteed,0.7960061422179203
died,0.7857824152637137
joe,0.7980720448419194
british,0.49562171560280077
france,-0.49424181987646787
deal,-0.4872429950613602
healthcare,-0.5151169279280016
place,-0.5023410769226977
lockdowns,0.5005706968981682
seen,-0.48711054537709675
dr,0.4979253086922084
mutations,0.791890681356529
contagious,0.4984113062534035
group,-0.780207355843237
bill,0.8051231608805159
given,-0.5092338876444903
please,0.5108436896337274
want,-0.5270313945809874
give,-0.5046150233809014
peak,0.7990430507217573
several,-0.812912400666201
effort,-0.48421499256086137
detected,-0.4863678112293512
school,-0.5010283823353474
jab,0.4963067936469226
industry,-0.5035109058242672
chief,-0.48297877828661634
african,-0.5044634169059751
better,-0.5011019357279812
guidance,0.4960825137470297
italy,-0.8156107664424539
february,-0.5450528121660806
soon,0.505047107262826
capital,-0.49138590177975466
reopen,-0.5126080163975286
using,-0.4996671755946588
recent,0.4845978994172076
prime,-0.4865694158155935
except,-0.49456929287644924
low,-0.4859474106287119
percent,0.7968939760597877
ahead,-0.4916140604779082
growth,-0.8088493348646498
everyone,0.5046092409958136
post,0.5201002756720317
white,0.8148408433535931
stated,-0.5005859041228921
shut,-0.496676440214242
korea,0.4921458222928769
change,0.508753983517027
claimed,-0.506575734437164
efficacy,-0.48518967466307467
lost,0.7941307127775793
away,-0.50125337097941
fuel,-0.5090708742975404
move,-0.7854976991343976
coming,-0.495438527858557
market,-0.4973433921663024
needs,-0.4942500160980465
financial,-0.49672001151720896
results,0.8009318226615454
humanitarian,0.5048173557098522
information,0.5039528393155099
ban,-0.48628501084634457
border,-0.497837570814307
announcing,0.788800366342402
canada,-0.5053750127437601
authorities,-0.49678129110905844
infected,0.5016042378176075
london,-0.4909063517155905
service,0.7843207382636871
basic,0.5045268193585691
great,0.4998017065719916
food,0.4943302107332185
annual,-0.8010323567482213
targeting,-0.4878464986920738
mass,-0.5154492254270273
agency,0.4845942038830325
vaccinating,-0.4951604888150236
england,0.49824272575913225
expected,-0.8391121148972025
find,0.49991412016734404
tokyo,-0.5053605333549127
ongoing,-0.4977247429137519
members,0.4964644182807322
head,0.7831169136980305
june,-0.5575037220383823
reporting,-0.48665777098626506
north,0.7769200035492858
investigation,-0.4985579098069435
clinical,-0.5038770597466076
released,0.8070502440246674
postcoronavirus,-0.5031413969335007
businesses,0.49908449776821556
able,-0.5036596623556602
era,-0.5104642459650203
gathered,0.48841684475659053
receive,-0.5081261255168624
protection,-0.5021165648154616
available,-0.520594635439725
showed,0.7985295198017285
saw,-0.4840094458905563
rules,0.49537200094417805
single,0.48705149739734355
summer,0.5090556724896552
delhi,0.7870873635428552
told,-0.4937943499782796
approved,-0.4928717947980617
pm,-0.48452738157964
might,-0.4933437766030938
starting,-0.5148964498766111
point,0.7948744234599309
comes,-0.48803488892392133
general,-0.4952234351469368
policy,0.4887318449447118
return,0.5114448730797889
texas,-0.4990884397855244
aid,-0.486392438103156
target,-0.4996889962753774
five,0.8096644374841443
six,0.795899150243823
name,-0.5022647226959955
immunity,-0.49374010970107046
force,0.8089533578038823
improvement,-0.4959949460652355
